127.0.0.1 - - [02/Aug/2017:22:59:16 +0530] "GET /MyDreamProject/resources/css/footer.css HTTP/1.1" 200 2603
127.0.0.1 - - [02/Aug/2017:22:59:16 +0530] "GET /MyDreamProject/resources/css/home.css HTTP/1.1" 200 838
127.0.0.1 - - [02/Aug/2017:22:59:17 +0530] "GET /MyDreamProject/resources/images/nuts_volts.jpg HTTP/1.1" 200 589889
127.0.0.1 - - [02/Aug/2017:22:59:17 +0530] "GET /MyDreamProject/resources/images/Store1.jpg HTTP/1.1" 200 552472
127.0.0.1 - - [02/Aug/2017:22:59:17 +0530] "GET /MyDreamProject/resources/images/paints.jpg HTTP/1.1" 200 92590
127.0.0.1 - - [02/Aug/2017:22:59:17 +0530] "GET /MyDreamProject/resources/images/kohli-tent-house-9.jpg HTTP/1.1" 200 78727
127.0.0.1 - - [02/Aug/2017:22:59:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [02/Aug/2017:22:59:35 +0530] "GET /MyDreamProject/home/index HTTP/1.1" 200 10458
127.0.0.1 - - [02/Aug/2017:22:59:35 +0530] "GET /MyDreamProject/resources/css/home.css HTTP/1.1" 200 838
127.0.0.1 - - [02/Aug/2017:22:59:35 +0530] "GET /MyDreamProject/resources/css/loginfrom.css HTTP/1.1" 200 2331
127.0.0.1 - - [02/Aug/2017:22:59:35 +0530] "GET /MyDreamProject/resources/css/footer.css HTTP/1.1" 200 2603
127.0.0.1 - - [02/Aug/2017:22:59:35 +0530] "GET /MyDreamProject/resources/images/nuts_volts.jpg HTTP/1.1" 200 589889
127.0.0.1 - - [02/Aug/2017:22:59:35 +0530] "GET /MyDreamProject/resources/images/paints.jpg HTTP/1.1" 200 92590
127.0.0.1 - - [02/Aug/2017:22:59:35 +0530] "GET /MyDreamProject/resources/images/Store1.jpg HTTP/1.1" 200 552472
127.0.0.1 - - [02/Aug/2017:22:59:35 +0530] "GET /MyDreamProject/resources/images/kohli-tent-house-9.jpg HTTP/1.1" 200 78727
127.0.0.1 - - [02/Aug/2017:22:59:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [02/Aug/2017:22:59:58 +0530] "GET /MyDreamProject/home/index HTTP/1.1" 200 10471
127.0.0.1 - - [02/Aug/2017:23:00:30 +0530] "GET /MyDreamProject/home/index HTTP/1.1" 200 10490
127.0.0.1 - - [02/Aug/2017:23:00:30 +0530] "GET /MyDreamProject/resources/css/loginfrom.css HTTP/1.1" 200 2331
127.0.0.1 - - [02/Aug/2017:23:00:30 +0530] "GET /MyDreamProject/resources/css/home.css HTTP/1.1" 200 838
127.0.0.1 - - [02/Aug/2017:23:00:30 +0530] "GET /MyDreamProject/resources/css/footer.css HTTP/1.1" 200 2603
127.0.0.1 - - [02/Aug/2017:23:00:31 +0530] "GET /MyDreamProject/resources/images/nuts_volts.jpg HTTP/1.1" 200 589889
127.0.0.1 - - [02/Aug/2017:23:00:31 +0530] "GET /MyDreamProject/resources/images/paints.jpg HTTP/1.1" 200 92590
127.0.0.1 - - [02/Aug/2017:23:00:31 +0530] "GET /MyDreamProject/resources/images/Store1.jpg HTTP/1.1" 200 552472
127.0.0.1 - - [02/Aug/2017:23:00:31 +0530] "GET /MyDreamProject/resources/images/kohli-tent-house-9.jpg HTTP/1.1" 200 78727
127.0.0.1 - - [02/Aug/2017:23:00:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
